file,orig_size,compressed_size,ratio_percent,compress_mean_ms,compress_stdev_ms,decompress_mean_ms,decompress_stdev_ms
experiments/input/archive_100k.zip,102549,104863,-2.2564822670138263,11.94516380001005,0.7768410375387993,8.462189300007594,0.7935037302424447
experiments/input/archive_10k.zip,10359,12665,-22.260835988029726,2.34021410033165,0.23074462722310865,2.050887299810711,0.2147796210394128
experiments/input/archive_1m.zip,1049010,1051324,-0.220588936235111,69.13085709966253,3.886598667334016,50.17538230022183,3.55403536925692
experiments/input/code.zip,9413,11654,-23.807500265590132,2.177822499652393,0.15450472773836602,1.8053782003335073,0.154518133866641
experiments/input/code_100k.c,102400,67666,33.919921875,9.194993000164686,2.3922451723779528,5.801040100232058,2.0876965252120963
experiments/input/code_10k.c,10240,7689,24.912109375000004,1.5769272997204098,0.10486339903154052,1.3414525001280708,0.11581336500936709
experiments/input/code_1k.c,1024,1354,-32.2265625,0.9653519999119453,0.18498119459644174,0.8896128998458153,0.1800601948195494
experiments/input/code_1m.c,1048576,681689,34.989070892333984,49.94703360043786,7.296154519663611,31.85933609984204,6.265701125797733
experiments/input/code_5m.c,5242880,3402882,35.095176696777344,222.3606256999119,7.273060780679016,127.29885379976622,3.212978841552112
experiments/input/photo_100k.jpg,99244,100259,-1.0227318528072127,13.24489779981377,3.1228038994633565,9.51705959996616,2.184094982946041
experiments/input/photo_10k.jpg,10140,10387,-2.4358974358974272,2.0697037001809804,0.18780574660951238,1.7287640997892595,0.14856860985499928
experiments/input/photo_1m.jpg,1002147,999007,0.3133272863162784,75.7279446001121,6.67562815179115,56.17454720031674,7.059892527507651
experiments/input/random_100k.bin,102400,104714,-2.2597656250000098,11.62833899998077,1.7945420138913282,7.822975199815119,1.2763461789444979
experiments/input/random_10k.bin,10240,12554,-22.597656250000007,2.540876500097511,0.4653875857045171,2.1055826002339018,0.5344076709425517
experiments/input/random_1k.bin,1024,3273,-219.62890625,2.0883442999547697,0.21465975985838592,1.9174946997736697,0.14900627990877255
experiments/input/random_1m.bin,1048576,1050890,-0.22068023681640625,69.88352149983257,3.9776701885917074,50.005795099968964,2.6515589342894166
experiments/input/random_5m.bin,5242880,5245194,-0.04413604736328569,334.8300488998575,6.551355939062433,229.712828099764,4.796484708996656
experiments/input/repeated_100k.bin,102400,12819,87.4814453125,2.2408154003642267,0.3776207672474566,2.01798539947049,0.4722478249688772
experiments/input/repeated_10k.bin,10240,1299,87.314453125,1.3225945998783573,0.1572211977555646,1.296510699830833,0.21179909271607367
experiments/input/repeated_1k.bin,1024,147,85.64453125,1.3462008000715286,0.2850808833308231,1.3098069999614381,0.26147298386511963
experiments/input/repeated_1m.bin,1048576,131091,87.49818801879883,7.094364200020209,2.3083944279671584,6.4878621999014285,1.671218712710312
experiments/input/repeated_5m.bin,5242880,655379,87.49963760375977,22.647223000058148,3.6037326357307804,25.173218800046016,4.743651537876148
experiments/input/text_100k.txt,102400,58014,43.345703125,4.601107400048932,0.7941938760512371,2.9553348997069406,0.38253006567854014
experiments/input/text_10k.txt,10240,6046,40.95703125,1.6922139999223873,0.46250781122314116,1.4878058003887418,0.3650611642664824
experiments/input/text_1k.txt,1024,849,17.08984375,1.6766572000051383,0.1818289810476542,1.6687573001036071,0.1679701536837275
experiments/input/text_1m.txt,1048576,591551,43.58530044555664,23.73275210011343,2.9846884418945865,14.044753800044418,3.012080036912191
experiments/input/text_5m.txt,5242880,2956673,43.60593795776367,96.58176669981913,5.518284398708921,51.864248200217844,5.486264283723157
